Year,Championship,Team,Champ-Pos,Starts,Wins,Poles,Podiums,Podium,Win,Pole
2007,Formula One,Vodafone McLaren Mercedes,2,17,4,6,12,71%,24%,35%
2008,Formula One,Vodafone McLaren Mercedes,1,18,5,7,10,56%,28%,39%
2009,Formula One,Vodafone McLaren Mercedes,5,17,2,4,5,29%,12%,24%
2010,Formula One,Vodafone McLaren Mercedes,4,19,3,1,9,47%,16%,5%
2011,Formula One,Vodafone McLaren Mercedes,5,19,3,1,6,32%,16%,5%
2012,Formula One,Vodafone McLaren Mercedes,4,20,4,7,7,35%,20%,35%
2013,Formula One,Mercedes AMG Petronas F1 Team,4,19,1,5,5,26%,5%,26%
2014,Formula One,Mercedes AMG Petronas F1 Team,1,19,11,7,16,84%,58%,37%
2015,Formula One,Mercedes AMG Petronas F1 Team,1,19,10,11,17,89%,53%,58%
2016,Formula One,Mercedes AMG Petronas F1 Team,2,21,10,12,17,81%,48%,57%
2017,Formula One,Mercedes AMG Petronas F1 Team,1,20,9,11,13,65%,45%,55%
2018,Formula One,Mercedes AMG Petronas Motorsport,1,21,11,11,17,81%,52%,52%
2019,Formula One,Mercedes-AMG Petronas Motorsport,1,21,11,5,17,81%,52%,24%
2020,Formula One,Mercedes-AMG Petronas Formula One Team,1,16,11,10,14,88%,69%,63%
2021,Formula One,Mercedes-AMG Petronas Formula One Team,1,11,4,3,8,73%,36%,27%
